JobID,Template,Status,Started,Finished,Elapsed
2,EXE_T1_Switchover,successful,2026-08-05T13:39:38.259755Z,2026-08-05T13:39:42.085909Z,3.826
4,EXE_T1_Switchover,successful,2026-08-05T13:52:35.783433Z,2026-08-05T13:52:44.332365Z,8.549
6,EXE_T1_Switchover,successful,2026-08-05T13:53:53.725206Z,2026-08-05T13:54:03.245704Z,9.52
8,EXE_T1_Switchover,successful,2026-08-05T14:12:31.878812Z,2026-08-05T14:12:41.511602Z,9.633
10,EXE_T1_Switchover,successful,2026-08-06T11:24:27.777781Z,2026-08-06T11:24:43.863225Z,16.085
12,EXE_T1_Switchover,successful,2026-08-06T15:15:41.342713Z,2026-08-06T15:15:51.790754Z,10.448
14,EXE_T1_Switchover,successful,2026-08-06T15:17:01.006209Z,2026-08-06T15:17:11.451835Z,10.446
17,Get_All_AWX_Jobs_CSV,successful,2026-08-06T21:06:42.191484Z,2026-08-06T21:06:49.560141Z,7.369
20,Get_All_AWX_Jobs_CSV,failed,2026-08-06T21:19:25.515237Z,2026-08-06T21:19:28.905555Z,3.39
23,Get_All_AWX_Jobs_CSV,successful,2026-08-06T21:31:51.117231Z,2026-08-06T21:36:58.739235Z,307.622
25,Get_All_AWX_Jobs_CSV,successful,2026-08-06T21:51:40.944020Z,2026-08-06T21:56:50.960350Z,310.016
27,Get_All_AWX_Jobs_CSV,running,2026-08-06T21:57:51.907821Z,,3.876499
